,Country,Region,Happiness score,Whisker-high,Whisker-low,Dystopia (1.88) + residual,Explained by: GDP per capita,Explained by: Social support,Explained by: Healthy life expectancy,Explained by: Freedom to make life choices,Explained by: Generosity,Explained by: Perceptions of corruption
92,Dominican Republic,Latin America and Caribbean,5.425300121307373,5.55933141708374,5.291268825531006,1.5185155868530273,1.0154225826263428,1.4014763832092285,0.7786740660667419,0.4968929588794708,0.1129332035779953,0.10140404105186462
93,Laos,Southeastern Asia,4.796299934387207,4.881432056427002,4.711167812347412,1.4726157188415527,0.7642075419425964,1.030360460281372,0.5512872338294983,0.5473084449768066,0.2662074565887451,0.16427168250083923
94,Mongolia,Eastern Asia,5.285399913787842,5.362427711486816,5.208372116088867,1.5504601001739502,0.9478237628936768,1.5306382179260254,0.6667638421058655,0.3165324628353119,0.23522083461284637,0.03796638175845146
95,Swaziland,Sub-Saharan Africa,4.211599826812744,4.392202854156494,4.030996799468994,1.7295238971710205,0.810798168182373,1.1492388248443604,0.0,0.313344269990921,0.07397714257240295,0.13468272984027863
96,Greece,Western Europe,5.2866997718811035,5.382487773895264,5.190911769866943,1.8483617305755615,1.1813290119171143,1.1562496423721313,0.9993109703063965,0.06707266718149185,0.0,0.03442434221506119
97,Lebanon,Middle East and Northern Africa,5.197299957275391,5.284174919128418,5.110424995422363,1.7621111869812012,0.9868870973587036,1.2241863012313843,0.8149145245552063,0.21576499938964844,0.16607177257537842,0.027371738106012344
98,Hungary,Central and Eastern Europe,5.758299827575684,5.853194236755371,5.663405418395996,2.0196266174316406,1.2010890245437622,1.4097105264663696,0.8281239867210388,0.1994025856256485,0.08060549944639206,0.019769251346588135
99,Honduras,Latin America and Caribbean,5.860400199890137,5.986606121063232,5.734194278717041,2.322544574737549,0.6423932313919067,1.2361620664596558,0.8281154632568359,0.5071426630020142,0.2456793487071991,0.07832857221364975
100,Tajikistan,Central and Eastern Europe,5.467299938201904,5.568359375,5.366240501403809,2.396641254425049,0.49311771988868713,1.0975717306137085,0.7178027629852295,0.3885594308376312,0.2297053337097168,0.14385977387428284
101,Tunisia,Middle East and Northern Africa,4.460599899291992,4.548387050628662,4.372812747955322,1.4441604614257812,0.9209895133972168,0.9999244809150696,0.8148850798606873,0.16698451340198517,0.05879086256027222,0.05487249791622162
102,Palestinian Territories,Middle East and Northern Africa,4.696300029754639,4.805898189544678,4.5867018699646,1.7269904613494873,0.656588613986969,1.2470420598983765,0.6716954112052917,0.2249346524477005,0.10288607329130173,0.06617846339941025
103,Bangladesh,Southern Asia,4.4558000564575195,4.538150787353516,4.373449325561523,1.4060297012329102,0.5622696280479431,0.9282450675964355,0.7227285504341125,0.5273915529251099,0.16577266156673431,0.143401637673378
104,Iran,Middle East and Northern Africa,4.547999858856201,4.659369468688965,4.4366302490234375,1.1209964752197266,1.099961519241333,0.8420640230178833,0.7853391170501709,0.3048887848854065,0.269819438457489,0.1249668225646019
105,Ukraine,Central and Eastern Europe,4.332200050354004,4.429599285125732,4.234800815582275,1.007683515548706,0.8203274607658386,1.3904718160629272,0.73914635181427,0.17799082398414612,0.1868572235107422,0.009755395352840424
